"","Taxon","combinations","pval","adj_p <- p.adjust(pval, method = ""BH"")"
"1","UniRef90_U2RSB5","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0295001371230527,0.0447784450545511
"2","UniRef90_A0A0S2ZM78","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0427036248697112,0.0486974074968286
"3","UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.000503471198151287,0.0209031175734128
"4","UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0153184924208964,0.0366451820734573
"5","UniRef90_E0DHI2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00237200077584661,0.0223404645350974
"6","UniRef90_L1NU03","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0021054776848388,0.0223404645350974
"7","UniRef90_L1NXW0","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0348453759862908,0.0472336009469903
"8","UniRef90_L1P8R8","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0274444378961055,0.0440799577867085
"9","UniRef90_R9RDW5","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0491461846358309,0.0499959007871777
"10","UniRef90_U1S5K2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0201346754886552,0.0408467670220611
"11","UniRef90_U2IFD3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.0152592272884141,0.0366451820734573
"12","UniRef90_UPI0007E347B6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00378907650681087,0.0268094179488598
"13","UniRef90_W2CII2","dieguez_complete_uniref_Caries-BaselinevsHealthy-Baseline",0.00194199240360061,0.0223404645350974
"14","UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0100301336020067,0.0329482077554532
"15","UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.032312992084923,0.0464043625384934
"16","UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0105840746545693,0.0329482077554532
"17","UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0141426417565086,0.0366451820734573
"18","UniRef90_A5TWG4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0241629195849898,0.0428382029182922
"19","UniRef90_J6IUG2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0427967778479542,0.0486974074968286
"20","UniRef90_U1R9S4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0292278217119935,0.0446709021698662
"21","UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0346276321816081,0.0472272904259061
"22","UniRef90_W2CII2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0215624128502274,0.0412873304999459
"23","UniRef90_X8HWZ7","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl",0.0489952514253879,0.0499959007871777
"24","UniRef90_A0A241Q2B3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0422130284730942,0.0486974074968286
"25","UniRef90_A0A2B7YNI3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0219876170103509,0.041632910559118
"26","UniRef90_A0A2B7YY17","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00840742189660773,0.0329280347238905
"27","UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00414310863761476,0.0275365545764799
"28","UniRef90_D3IKU4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0462105060588579,0.0498722438835123
"29","UniRef90_F9EJN4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00940233081259198,0.0329482077554532
"30","UniRef90_L1PTL1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0188781569181046,0.0400437585640046
"31","UniRef90_L1PUB1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.023883322681356,0.0428382029182922
"32","UniRef90_U2IFD3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.00841812052250661,0.0329280347238905
"33","UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl",0.0074596980570136,0.0329280347238905
"34","UniRef90_J5VG22","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0103923836095864,0.0329482077554532
"35","UniRef90_A0A2B7YY17","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00515322306841383,0.0304350132070255
"36","UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0338166854033606,0.0469569259449215
"37","UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0144638915632472,0.0366451820734573
"38","UniRef90_A5TVF0","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0204423982978017,0.0408467670220611
"39","UniRef90_A5TWG4","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0460126429272614,0.0498722438835123
"40","UniRef90_C9MZK9","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00876910829789502,0.0329280347238905
"41","UniRef90_D3QZD1","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00793665351853374,0.0329280347238905
"42","UniRef90_J6IUG2","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.00083938174091693,0.0209031175734128
"43","UniRef90_L1NU03","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0106196722115273,0.0329482077554532
"44","UniRef90_U1SAA0","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0429168268425343,0.0486974074968286
"45","UniRef90_U2IFD3","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0402575988086539,0.048260424096519
"46","UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0320659271262979,0.0464043625384934
"47","UniRef90_W2VDD7","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.000871965276779628,0.0209031175734128
"48","UniRef90_X8HWZ7","dieguez_complete_uniref_Caries-BaselinevsCaries-Fl-Ar",0.0350608762020309,0.0472336009469903
"49","UniRef90_U2R544","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0435594153927002,0.0489821181252608
"50","UniRef90_A0A134A313","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00886296552574432,0.0329280347238905
"51","UniRef90_A0A241Q2B3","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00243271846117213,0.0223404645350974
"52","UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0240699612778284,0.0428382029182922
"53","UniRef90_A0A2N6TM57","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.000215786556884485,0.0148622991054189
"54","UniRef90_D3IKU4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00626865963073163,0.0316883619865425
"55","UniRef90_F9EJN4","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0116457693357919,0.0344990263657061
"56","UniRef90_G6C504","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0177773345099553,0.0390251446812166
"57","UniRef90_J4X3C5","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00867585769684063,0.0329280347238905
"58","UniRef90_L1NU03","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00888476871476509,0.0329280347238905
"59","UniRef90_L1PTL1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.00816828146758908,0.0329280347238905
"60","UniRef90_L1PUB1","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0110706484367455,0.0333329360035343
"61","UniRef90_U2PKD9","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0391667294774725,0.0478267680538493
"62","UniRef90_UPI0007E347B6","dieguez_complete_uniref_Caries-BaselinevsHealthy-Fl-Ar",0.0245406946099398,0.0428586537725013
"63","UniRef90_A0A2C6BMA4","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0158359938488867,0.0374490669988694
"64","UniRef90_E8KF34","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.00392793326973217,0.0270536403952803
"65","UniRef90_U2SWN1","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.04113957093425,0.0486974074968286
"66","UniRef90_A0A0S2ZM78","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.00697578225629128,0.0329280347238905
"67","UniRef90_A0A222PBB6","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0271175811347199,0.0440799577867085
"68","UniRef90_A0A250FBH3","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.00963879199139746,0.0329482077554532
"69","UniRef90_A0A2B7YS72","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0446595970108572,0.0495119475915137
"70","UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.00272422938358428,0.0234539123492959
"71","UniRef90_A0A2N6TLH8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0146167957436,0.0366451820734573
"72","UniRef90_D3QZD1","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.03157586186553,0.0464043625384934
"73","UniRef90_E0DE64","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0333381620223753,0.0468605287610428
"74","UniRef90_L1NZV5","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0451154313641139,0.0498168390413362
"75","UniRef90_L1P8R8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",4.82551388768224e-05,0.00721554016015547
"76","UniRef90_L1PKY8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.00151082426022989,0.0223404645350974
"77","UniRef90_L1PQP4","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0240725508772195,0.0428382029182922
"78","UniRef90_S2ZQS1","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0205039192122658,0.0408467670220611
"79","UniRef90_U2IFD3","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0139753836226791,0.0366451820734573
"80","UniRef90_U2RAS2","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0188129308467022,0.0400437585640046
"81","UniRef90_X8HWZ7","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl",0.0114990993423912,0.0342933860342738
"82","UniRef90_A0A250FRI5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00538438297395523,0.0304350132070255
"83","UniRef90_A0A2N6TFM9","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00389969850533782,0.0270536403952803
"84","UniRef90_A5TTJ2","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00804546548466009,0.0329280347238905
"85","UniRef90_F0IDH7","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0169198186374834,0.0386743973537933
"86","UniRef90_L1NXR5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0323388152504996,0.0464043625384934
"87","UniRef90_L1PPR7","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0431109819518818,0.0486974074968286
"88","UniRef90_U1QIV9","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00221069846959509,0.0223404645350974
"89","UniRef90_A0A241Q4L3","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.000838173345809976,0.0209031175734128
"90","UniRef90_A0A2C5ZYQ6","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0375360347087887,0.0475157377371046
"91","UniRef90_A0A2C6BV61","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0232551036267761,0.0425992262293626
"92","UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00726475181567398,0.0329280347238905
"93","UniRef90_A0A2G9FAK1","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00425328083082402,0.0275712675033416
"94","UniRef90_A5TV72","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0110109395778836,0.0333329360035343
"95","UniRef90_D3IMD8","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0155632581586261,0.036962738126737
"96","UniRef90_E7RY83","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.012107387115915,0.0354524513909006
"97","UniRef90_L1NTI4","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0387010930978541,0.0475157377371046
"98","UniRef90_L1P8R8","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0165575416085594,0.0380133559429843
"99","UniRef90_L1PDL4","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0145823193824622,0.0366451820734573
"100","UniRef90_Q7P652","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.00991578055510976,0.0329482077554532
"101","UniRef90_U1QXW4","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0161552786168908,0.0377184682962154
"102","UniRef90_U1R3T5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.000690732078650041,0.0209031175734128
"103","UniRef90_U2AZB2","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0266589365051822,0.0440799577867085
"104","UniRef90_U2BYZ5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0337388079105655,0.0469569259449215
"105","UniRef90_U2LXT4","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0281336128739793,0.0440799577867085
"106","UniRef90_UPI0007E347B6","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0203670933552876,0.0408467670220611
"107","UniRef90_W2CGF0","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl",0.0150725422533162,0.0366451820734573
"108","UniRef90_A0A2N6TFM9","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.0145140815175266,0.0366451820734573
"109","UniRef90_A0A0S2ZM78","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.000107111624939665,0.0118037010683511
"110","UniRef90_A0A1Q8WM28","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.0332068027739383,0.04679526426711
"111","UniRef90_A0A2N6TLH8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00495984296260938,0.0300315766197557
"112","UniRef90_C9MZK9","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.000639035334707876,0.0209031175734128
"113","UniRef90_E0DHI2","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.0253704774353168,0.0430127171287986
"114","UniRef90_E6LLD9","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00986404536614898,0.0329482077554532
"115","UniRef90_L1P8R8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00662098378976698,0.0327376619307058
"116","UniRef90_L1PKY8","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00591563564861837,0.03075014379612
"117","UniRef90_S2ZQS1","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.0376283337660366,0.0475157377371046
"118","UniRef90_U2IFD3","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.0380392447647376,0.0475157377371046
"119","UniRef90_U2RAS2","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00757844901475361,0.0329280347238905
"120","UniRef90_UPI0007E347B6","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00459843460544454,0.0291234191678154
"121","UniRef90_X8HWZ7","dieguez_complete_uniref_Healthy-BaselinevsCaries-Fl-Ar",0.00366415430854602,0.0268094179488598
"122","UniRef90_A0A096ASI9","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.037811954547959,0.0475157377371046
"123","UniRef90_A0A2C6BMA4","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0127460967942992,0.0355868896010772
"124","UniRef90_E8KF34","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.00178501987792078,0.0223404645350974
"125","UniRef90_L1P8P6","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0148024109378076,0.0366451820734573
"126","UniRef90_U1PUH2","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0394010094201983,0.0478267680538493
"127","UniRef90_A0A134A313","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0430031252031766,0.0486974074968286
"128","UniRef90_D7NFI9","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.047356008735422,0.0498722438835123
"129","UniRef90_G6C504","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0414565349776685,0.0486974074968286
"130","UniRef90_L1NZV5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0207203299087962,0.0408891144832521
"131","UniRef90_L1P8R8","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.00536627407072912,0.0304350132070255
"132","UniRef90_L1PKY8","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.00322895224425684,0.0258808127898143
"133","UniRef90_L1PNE1","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0469366968453195,0.0498722438835123
"134","UniRef90_L1PUB1","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0173894189650027,0.0389650476536581
"135","UniRef90_S2ZQS1","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0381187402269008,0.0475157377371046
"136","UniRef90_U1R3T5","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0253661105226444,0.0430127171287986
"137","UniRef90_U2IFD3","dieguez_complete_uniref_Healthy-BaselinevsHealthy-Fl-Ar",0.0499959007871777,0.0499959007871777
"138","UniRef90_A0A0M3UUY0","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0339180699202881,0.0469569259449215
"139","UniRef90_C4GK28","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0321070005231506,0.0464043625384934
"140","UniRef90_J5VG22","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0483924897820336,0.0499959007871777
"141","UniRef90_L1P5L4","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0494232001124419,0.0499959007871777
"142","UniRef90_U1QYG9","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0170097849959328,0.0386743973537933
"143","UniRef90_A0A241Q4L3","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0498874140284397,0.0499959007871777
"144","UniRef90_A5TV72","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0118351768569529,0.0348726334127329
"145","UniRef90_A5TVF0","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0196451778679794,0.0406120763854713
"146","UniRef90_E0DE64","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0379762139793524,0.0475157377371046
"147","UniRef90_J6HXM3","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0365689257174373,0.0475157377371046
"148","UniRef90_J6IUG2","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0493502426127898,0.0499959007871777
"149","UniRef90_U1S322","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0279230261386807,0.0440799577867085
"150","UniRef90_U2C3C7","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.0132359689412349,0.0360208019723691
"151","UniRef90_X8HWZ7","dieguez_complete_uniref_Caries-FlvsHealthy-Fl",0.00339465519070038,0.0260011098488546
"152","UniRef90_G9ZCM6","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0378868904022639,0.0475157377371046
"153","UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0148162587582457,0.0366451820734573
"154","UniRef90_A5TV72","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0199498106629133,0.0407123913898712
"155","UniRef90_D3QZD1","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0037818108395521,0.0268094179488598
"156","UniRef90_E6LLD9","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0383909182471324,0.0475157377371046
"157","UniRef90_J6HZ39","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.0250110706985729,0.0428586537725013
"158","UniRef90_W2VDD7","dieguez_complete_uniref_Caries-FlvsCaries-Fl-Ar",0.000370886177410204,0.0204358283753022
"159","UniRef90_A0A2B7YS72","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0134802060472127,0.036232163570801
"160","UniRef90_A0A2C6C3I1","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.00492382947790904,0.0300315766197557
"161","UniRef90_A5TV72","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.00371397496618763,0.0268094179488598
"162","UniRef90_D3IKU4","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0454106834000557,0.0498722438835123
"163","UniRef90_E0DE64","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0378741585047557,0.0475157377371046
"164","UniRef90_F2UVA9","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0214208694064993,0.0412873304999459
"165","UniRef90_J0XE44","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0476694715443529,0.0498722438835123
"166","UniRef90_W2CTG9","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.00478186576633966,0.0299410004233313
"167","UniRef90_W2VDD7","dieguez_complete_uniref_Caries-FlvsHealthy-Fl-Ar",0.0087465440567438,0.0329280347238905
"168","UniRef90_J5VG22","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.0115141132782952,0.0342933860342738
"169","UniRef90_A0A0X8JSY8","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.0153630436641899,0.0366451820734573
"170","UniRef90_A0A2N6TLH8","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.00574012223246595,0.0304350132070255
"171","UniRef90_A5TVF0","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.0153627894954741,0.0366451820734573
"172","UniRef90_C9MZK9","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.0271301462977824,0.0440799577867085
"173","UniRef90_S2ZQS1","dieguez_complete_uniref_Healthy-FlvsCaries-Fl-Ar",0.0381361235211485,0.0475157377371046
